stock_code,stock_name,price,last_close,open,volume,change_amt,change_pct,high,low,amount_wan,turnover_pct,pe_ttm,amplitude_pct,mcap_yi,float_mcap_yi,pb,limit_up,limit_down,vol_ratio
000533,顺钠股份,11.54,12.03,12.20,36828100.0,-0.49,-4.07,12.20,11.45,43034,5.38,80.23,6.23,79.04,79.72,8.09,13.23,10.83,1.11
000534,万泽股份,32.83,36.00,36.27,26872100.0,-3.17,-8.81,36.97,32.66,90667,5.36,82.90,11.97,164.45,167.28,9.74,39.60,32.40,1.18
000535,*ST猴王,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.31,0.00,0.85,1.51,-0.22,-1,-1,0.00
000536,华映科技,3.89,4.26,4.24,162551200.0,-0.37,-8.69,4.25,3.83,64510,5.88,-10.54,9.86,107.48,107.60,12.81,4.69,3.83,0.81
000537,绿发电力,10.98,10.70,10.60,92652500.0,0.28,2.62,11.14,10.40,100918,4.51,35.52,6.92,225.72,225.72,1.13,11.77,9.63,1.96
000538,云南白药,49.94,48.82,48.99,17466800.0,1.12,2.29,50.11,48.86,86620,0.99,16.95,2.56,885.40,891.06,2.27,53.70,43.94,1.98
000539,粤电力Ａ,8.88,8.07,8.77,116461600.0,0.81,10.04,8.88,8.52,102439,4.56,56.09,4.46,226.92,466.23,2.00,8.88,7.26,1.02
000540,*ST中天,0.40,0.40,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.74,0.00,27.89,28.02,-0.47,-1,-1,0.00
000541,佛山照明,4.96,4.95,4.95,9584300.0,0.01,0.20,5.03,4.92,4777,0.78,43.22,2.22,61.03,76.17,1.11,5.45,4.46,0.74
000542,TCL通讯,27.34,27.34,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,18.18,0.00,22.26,51.43,8.30,-1,-1,0.00
000543,皖能电力,9.80,9.33,9.34,149415800.0,0.47,5.04,10.09,9.32,146195,6.59,10.33,8.25,222.15,222.15,1.27,10.26,8.40,1.82
000544,中原环保,7.91,7.83,7.82,4594400.0,0.08,1.02,7.97,7.81,3639,0.47,7.25,2.04,77.10,77.10,0.82,8.61,7.05,1.19
000545,金浦钛业,2.46,2.56,2.57,30120400.0,-0.10,-3.91,2.58,2.44,7553,3.06,-4.78,5.47,24.24,24.28,3.89,2.82,2.30,0.87
000546,金圆股份,5.59,5.70,5.71,33172600.0,-0.11,-1.93,5.80,5.53,18769,4.76,-13.33,4.74,38.95,43.47,1.13,6.27,5.13,1.01
000547,航天发展,20.30,21.79,21.67,108344700.0,-1.49,-6.84,21.77,20.09,224362,6.82,-26.22,7.71,322.59,324.49,8.60,23.97,19.61,1.19
000548,湖南投资,4.83,4.91,4.90,8996700.0,-0.08,-1.63,4.95,4.79,4383,1.80,63.92,3.26,24.11,24.11,1.17,5.40,4.42,0.59
000549,S湘火炬,8.90,8.90,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,20.68,0.00,55.09,83.33,4.10,-1,-1,0.00
000550,江铃汽车,16.75,16.45,16.48,4057000.0,0.30,1.82,16.89,16.35,6775,0.78,11.83,3.28,86.84,144.59,1.20,18.10,14.81,0.96
000551,创元科技,15.82,16.32,16.31,15014000.0,-0.50,-3.06,16.37,15.46,23850,3.10,22.57,5.58,76.66,76.68,2.52,17.95,14.69,0.71
000552,甘肃能化,2.73,2.66,2.66,87489100.0,0.07,2.63,2.76,2.66,23842,2.35,-76.01,3.76,101.71,146.10,0.89,2.93,2.39,1.45
000553,安道麦A,6.27,6.32,6.33,10203000.0,-0.05,-0.79,6.39,6.20,6423,0.47,-23.28,3.01,136.50,146.08,0.82,6.95,5.69,1.03
000554,泰山石油,6.74,6.83,6.77,12261700.0,-0.09,-1.32,6.82,6.68,8268,3.38,19.18,2.05,24.44,32.41,2.72,7.51,6.15,0.82
000555,神州信息,12.78,13.17,13.26,24413000.0,-0.39,-2.96,13.45,12.75,31759,2.50,219.17,5.32,124.56,124.70,2.20,14.49,11.85,0.53
